"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61652","Can not access inventory-item page without login","chromium","Mon Nov 04 14:19:52 WIB 2024","passed","Mon Nov 04 14:20:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1145","Verify error message for access inventory page without login","webkit","Mon Nov 04 14:51:01 WIB 2024","failed","Mon Nov 04 14:51:02 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","3573","@smoke - Verify logout process","firefox","Mon Nov 04 14:23:30 WIB 2024","passed","Mon Nov 04 14:23:34 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","61680","Can not access cart page without login","Mobile Safari","Mon Nov 04 14:28:42 WIB 2024","passed","Mon Nov 04 14:29:44 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","61968","Can not access inventory page without login","chromium","Mon Nov 04 14:19:51 WIB 2024","passed","Mon Nov 04 14:20:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1451","Verify error message for blank password field","Mobile Chrome","Mon Nov 04 14:28:05 WIB 2024","passed","Mon Nov 04 14:28:07 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","992","Verify error message for incorrect password","webkit","Mon Nov 04 14:50:56 WIB 2024","failed","Mon Nov 04 14:50:57 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1455","Verify error message for cart page without login","Mobile Chrome","Mon Nov 04 14:28:08 WIB 2024","passed","Mon Nov 04 14:28:10 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","15800","Verify data product are accurate in checkout process","firefox","Mon Nov 04 14:22:02 WIB 2024","passed","Mon Nov 04 14:22:18 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","1659","Verify error message for incorrect password","Mobile Chrome","Mon Nov 04 14:28:07 WIB 2024","passed","Mon Nov 04 14:28:08 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1497","Verify Inventory Page and Inventory Item Page","chromium","Mon Nov 04 14:21:17 WIB 2024","passed","Mon Nov 04 14:21:19 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
